rank,region,founder,university,admission_type,college,department,quota,applicants,rate
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),영어영문학부,영어영문학전공,3,2,0.67
26,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),에너지바이오대학,정밀화학과,3,2,0.67
26,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),에너지바이오대학,안경광학과,3,2,0.67
26,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),조형대학,도예학과,3,2,0.67
33,서울,사립,성신여자대학교,논술우수자,,독일어문·문화학과,3,2,0.67
37,경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,국제통상학전공,3,2,0.67
37,서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,국제통상학전공,3,2,0.67
39,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,금융·빅데이터학부,3,2,0.67
39,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,컴퓨터공학과,3,2,0.67
39,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,바이오로직스학과,3,2,0.67
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,응용수리과학부,6,4,0.67
42,세종,사립,고려대학교(세종),논술(일반전형),문화스포츠대학,문화유산융합학부,7,5,0.71
42,세종,사립,고려대학교(세종),논술(일반전형),스마트도시학부,스마트도시학부,7,5,0.71
16,서울,사립,이화여자대학교,논술(논술전형),공과대학,환경공학과,4,3,0.75
18,경기,사립,한국외국어대학교(용인),논술전형,,국제금융학과,4,3,0.75
18,경기,사립,한국외국어대학교(용인),논술전형,,통계학과,4,3,0.75
18,경기,사립,한국외국어대학교(용인),논술전형,,반도체전자공학부(전자공학전공),4,3,0.75
18,서울,사립,한국외국어대학교(서울),논술전형,,국제금융학과,4,3,0.75
18,서울,사립,한국외국어대학교(서울),논술전형,,통계학과,4,3,0.75
18,서울,사립,한국외국어대학교(서울),논술전형,,반도체전자공학부(전자공학전공),4,3,0.75
20,서울,사립,홍익대학교(서울),농어촌학생전형,공과대학,기계·시스템디자인공학과,4,3,0.75
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,공과대학,데이터사이언스전공,4,3,0.75
33,서울,사립,성신여자대학교,논술우수자,,영어영문학과,4,3,0.75
33,서울,사립,성신여자대학교,논술우수자,,경제학과,4,3,0.75
42,세종,사립,고려대학교(세종),논술(일반전형),공공정책대학,경제통계학부,8,6,0.75
42,세종,사립,고려대학교(세종),논술(일반전형),과학기술대학,환경시스템공학과,9,7,0.78
46,서울,사립,한성대학교,농어촌학생전형,IT공과대학,IT공과대학,19,15,0.79
29,서울,사립,세종대학교,논술(논술우수자 전형),인공지능융합,양자지능정보학과,5,4,0.8
16,서울,사립,이화여자대학교,논술(논술전형),자연과학대학,통계학과,6,5,0.83
16,서울,사립,이화여자대학교,논술(논술전형),인공지능대학,컴퓨터공학과,6,5,0.83
18,경기,사립,한국외국어대학교(용인),논술전형,,AI융합대학(글로벌)[통합모집],6,5,0.83
18,서울,사립,한국외국어대학교(서울),논술전형,,AI융합대학(글로벌)[통합모집],6,5,0.83
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,공과대학,지능형전자시스템학부,6,5,0.83
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,공과대학,인공지능공학부,7,6,0.86
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,공과대학,화공생명공학부,8,7,0.88
42,세종,사립,고려대학교(세종),논술(일반전형),공공정책대학,정부행정학부,8,7,0.88
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,신소재공학과,9,8,0.89
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,신소재공학과,9,8,0.89
42,세종,사립,고려대학교(세종),논술(일반전형),글로벌비즈니스대학,글로벌학부,21,20,0.95
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,자연계열,산업경영공학과,8,8,1.0
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,자연계열,산업경영공학과,8,8,1.0
14,경기,사립,경희대학교(용인),서울캠퍼스 논술우수자전형,자연계열,약과학과,5,5,1.0
14,서울,사립,경희대학교(서울),서울캠퍼스 논술우수자전형,자연계열,약과학과,5,5,1.0
14,경기,사립,경희대학교(용인),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,사회학과,2,2,1.0
14,경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,스페인어학과,2,2,1.0
14,경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,러시아어학과,2,2,1.0
14,경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,식품생명공학과,2,2,1.0
14,경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],예술계열,환경조경디자인학과,2,2,1.0
14,경기,사립,경희대학교(용인),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],예술계열,디지털콘텐츠학과,2,2,1.0
14,경기,사립,경희대학교(용인),국제캠퍼스 논술우수자전형,인문계열,한국어학과,2,2,1.0
14,서울,사립,경희대학교(서울),서울캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,사회학과,2,2,1.0
14,서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,스페인어학과,2,2,1.0
14,서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],인문계열,러시아어학과,2,2,1.0
14,서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],자연계열,식품생명공학과,2,2,1.0
14,서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],예술계열,환경조경디자인학과,2,2,1.0
14,서울,사립,경희대학교(서울),국제캠퍼스 학생부종합[기회균형전형Ⅰ(국가보훈·농어촌·수급자·자립아동 등)],예술계열,디지털콘텐츠학과,2,2,1.0
14,서울,사립,경희대학교(서울),국제캠퍼스 논술우수자전형,인문계열,한국어학과,2,2,1.0
